scheme,date,nav
Axis_Bluechip,2012-12-31,23.992
Axis_Bluechip,2013-01-01,23.9979
Axis_Bluechip,2013-01-02,24.0036
Axis_Bluechip,2013-01-03,24.0092
Axis_Bluechip,2013-01-04,24.0147
Axis_Bluechip,2013-01-06,24.0258
Axis_Bluechip,2013-01-07,24.0314
Axis_Bluechip,2013-01-08,24.0369
Axis_Bluechip,2013-01-09,24.0424
Axis_Bluechip,2013-01-10,24.0479
Axis_Bluechip,2013-01-11,24.0534
Axis_Bluechip,2013-01-13,24.0643
Axis_Bluechip,2013-01-14,24.0698
Axis_Bluechip,2013-01-15,24.0754
Axis_Bluechip,2013-01-16,24.0809
Axis_Bluechip,2013-01-17,24.0863
Axis_Bluechip,2013-01-18,24.0918
Axis_Bluechip,2013-01-20,24.1028
Axis_Bluechip,2013-01-21,24.1084
Axis_Bluechip,2013-01-22,24.1139
Axis_Bluechip,2013-01-23,24.1194
Axis_Bluechip,2013-01-24,24.1249
Axis_Bluechip,2013-01-27,24.1413
Axis_Bluechip,2013-01-28,24.1468
Axis_Bluechip,2013-01-29,24.1522
Axis_Bluechip,2013-01-30,24.1577
Axis_Bluechip,2013-01-31,24.1631
Axis_Bluechip,2013-02-01,24.1686
Axis_Bluechip,2013-02-03,24.1795
Axis_Bluechip,2013-02-04,24.1849
Axis_Bluechip,2013-02-05,24.1903
Axis_Bluechip,2013-02-06,24.1959
Axis_Bluechip,2013-02-07,24.2013
Axis_Bluechip,2013-02-08,24.2067
Axis_Bluechip,2013-02-10,24.2174
Axis_Bluechip,2013-02-11,24.223
Axis_Bluechip,2013-02-12,24.2284
Axis_Bluechip,2013-02-13,24.2338
Axis_Bluechip,2013-02-14,24.2392
Axis_Bluechip,2013-02-15,24.2446
Axis_Bluechip,2013-02-17,24.2554
Axis_Bluechip,2013-02-18,24.2609
Axis_Bluechip,2013-02-19,24.2664
Axis_Bluechip,2013-02-20,24.2719
Axis_Bluechip,2013-02-21,24.2773
Axis_Bluechip,2013-02-22,24.2828
Axis_Bluechip,2013-02-24,24.2938
Axis_Bluechip,2013-02-25,24.2993
Axis_Bluechip,2013-02-26,24.3047
Axis_Bluechip,2013-02-27,24.3102
Axis_Bluechip,2013-02-28,24.3157
Axis_Bluechip,2013-03-01,24.3212
Axis_Bluechip,2013-03-03,24.3322
Axis_Bluechip,2013-03-04,24.3377
Axis_Bluechip,2013-03-05,24.3433
Axis_Bluechip,2013-03-06,24.3489
Axis_Bluechip,2013-03-07,24.3546
Axis_Bluechip,2013-03-08,24.3601
Axis_Bluechip,2013-03-10,24.3714
Axis_Bluechip,2013-03-11,24.377
Axis_Bluechip,2013-03-12,24.3827
Axis_Bluechip,2013-03-13,24.3882
Axis_Bluechip,2013-03-14,24.3939
Axis_Bluechip,2013-03-15,24.3995
Axis_Bluechip,2013-03-17,24.4112
Axis_Bluechip,2013-03-18,24.4172
Axis_Bluechip,2013-03-19,24.423
Axis_Bluechip,2013-03-20,24.4287
Axis_Bluechip,2013-03-21,24.4344
Axis_Bluechip,2013-03-22,24.4402
Axis_Bluechip,2013-03-24,24.4518
Axis_Bluechip,2013-03-25,24.4577
Axis_Bluechip,2013-03-26,24.464
Axis_Bluechip,2013-03-27,24.4699
Axis_Bluechip,2013-03-28,24.4795
Axis_Bluechip,2013-04-01,24.5163
Axis_Bluechip,2013-04-02,24.5294
Axis_Bluechip,2013-04-03,24.5363
Axis_Bluechip,2013-04-04,24.5419
Axis_Bluechip,2013-04-05,24.548
Axis_Bluechip,2013-04-07,24.559
Axis_Bluechip,2013-04-08,24.5645
Axis_Bluechip,2013-04-09,24.5702
Axis_Bluechip,2013-04-10,24.5758
Axis_Bluechip,2013-04-11,24.5815
Axis_Bluechip,2013-04-12,24.5872
Axis_Bluechip,2013-04-14,24.5986
Axis_Bluechip,2013-04-15,24.6045
Axis_Bluechip,2013-04-16,24.6103
Axis_Bluechip,2013-04-17,24.6161
Axis_Bluechip,2013-04-18,24.6219
Axis_Bluechip,2013-04-21,24.6392
Axis_Bluechip,2013-04-22,24.645
Axis_Bluechip,2013-04-23,24.6507
Axis_Bluechip,2013-04-24,24.6565
Axis_Bluechip,2013-04-25,24.6623
