scheme,date,nav
HDFC_Top100_Direct,2013-11-18,13.0894
HDFC_Top100_Direct,2013-11-19,13.1068
HDFC_Top100_Direct,2013-11-20,12.9549
HDFC_Top100_Direct,2013-11-21,12.7957
HDFC_Top100_Direct,2013-11-22,12.7775
HDFC_Top100_Direct,2013-11-25,12.8548
HDFC_Top100_Direct,2013-11-26,12.8591
HDFC_Top100_Direct,2013-11-27,12.8389
HDFC_Top100_Direct,2013-11-28,12.8773
HDFC_Top100_Direct,2013-11-29,12.9509
HDFC_Top100_Direct,2013-12-02,13.0012
HDFC_Top100_Direct,2013-12-03,13.0048
HDFC_Top100_Direct,2013-12-04,12.9799
HDFC_Top100_Direct,2013-12-05,13.0319
HDFC_Top100_Direct,2013-12-06,13.0439
HDFC_Top100_Direct,2013-12-09,13.0282
HDFC_Top100_Direct,2013-12-10,13.0325
HDFC_Top100_Direct,2013-12-11,13.0129
HDFC_Top100_Direct,2013-12-12,13.0021
HDFC_Top100_Direct,2013-12-13,12.9891
HDFC_Top100_Direct,2013-12-16,13.0345
HDFC_Top100_Direct,2013-12-17,12.9569
HDFC_Top100_Direct,2013-12-18,13.0672
HDFC_Top100_Direct,2013-12-19,13.1392
HDFC_Top100_Direct,2013-12-20,13.1776
HDFC_Top100_Direct,2013-12-23,13.1886
HDFC_Top100_Direct,2013-12-24,13.2683
HDFC_Top100_Direct,2013-12-26,13.4811
HDFC_Top100_Direct,2013-12-27,13.5024
HDFC_Top100_Direct,2013-12-30,13.5862
HDFC_Top100_Direct,2013-12-31,13.7277
HDFC_Top100_Direct,2014-01-01,13.7418
HDFC_Top100_Direct,2014-01-02,13.7553
HDFC_Top100_Direct,2014-01-03,13.8494
HDFC_Top100_Direct,2014-01-06,13.8568
HDFC_Top100_Direct,2014-01-07,13.9214
HDFC_Top100_Direct,2014-01-08,14.0081
HDFC_Top100_Direct,2014-01-09,13.8644
HDFC_Top100_Direct,2014-01-10,13.8143
HDFC_Top100_Direct,2014-01-13,13.7909
HDFC_Top100_Direct,2014-01-14,13.8249
HDFC_Top100_Direct,2014-01-15,14.0209
HDFC_Top100_Direct,2014-01-16,14.0042
HDFC_Top100_Direct,2014-01-17,13.7841
HDFC_Top100_Direct,2014-01-20,13.8144
HDFC_Top100_Direct,2014-01-21,13.8659
HDFC_Top100_Direct,2014-01-22,13.9302
HDFC_Top100_Direct,2014-01-23,13.9537
HDFC_Top100_Direct,2014-01-24,13.8688
HDFC_Top100_Direct,2014-01-27,13.6829
HDFC_Top100_Direct,2014-01-28,13.5678
HDFC_Top100_Direct,2014-01-29,13.4977
HDFC_Top100_Direct,2014-01-30,13.4661
HDFC_Top100_Direct,2014-01-31,13.6059
HDFC_Top100_Direct,2014-02-03,13.4995
HDFC_Top100_Direct,2014-02-04,13.4717
HDFC_Top100_Direct,2014-02-05,13.5431
HDFC_Top100_Direct,2014-02-06,13.5883
HDFC_Top100_Direct,2014-02-07,13.5552
HDFC_Top100_Direct,2014-02-10,13.7402
HDFC_Top100_Direct,2014-02-11,13.6983
HDFC_Top100_Direct,2014-02-12,13.6874
HDFC_Top100_Direct,2014-02-13,13.678
HDFC_Top100_Direct,2014-02-14,13.5948
HDFC_Top100_Direct,2014-02-17,13.6423
HDFC_Top100_Direct,2014-02-18,13.6801
HDFC_Top100_Direct,2014-02-19,13.801
HDFC_Top100_Direct,2014-02-20,13.8913
HDFC_Top100_Direct,2014-02-21,14.037
HDFC_Top100_Direct,2014-02-24,14.1905
HDFC_Top100_Direct,2014-02-25,14.2704
HDFC_Top100_Direct,2014-02-26,14.1733
HDFC_Top100_Direct,2014-02-28,14.2102
HDFC_Top100_Direct,2014-03-03,14.2753
HDFC_Top100_Direct,2014-03-04,14.4166
HDFC_Top100_Direct,2014-03-05,14.5448
HDFC_Top100_Direct,2014-03-06,14.6678
HDFC_Top100_Direct,2014-03-07,14.5275
HDFC_Top100_Direct,2014-03-10,14.5576
HDFC_Top100_Direct,2014-03-11,14.6449
HDFC_Top100_Direct,2014-03-12,14.7175
HDFC_Top100_Direct,2014-03-13,14.7121
HDFC_Top100_Direct,2014-03-14,14.6527
HDFC_Top100_Direct,2014-03-18,14.7961
HDFC_Top100_Direct,2014-03-19,14.7118
HDFC_Top100_Direct,2014-03-20,14.8045
HDFC_Top100_Direct,2014-03-21,14.9389
HDFC_Top100_Direct,2014-03-24,14.9833
HDFC_Top100_Direct,2014-03-25,15.017
HDFC_Top100_Direct,2014-03-26,15.0172
HDFC_Top100_Direct,2014-03-27,15.016
HDFC_Top100_Direct,2014-03-28,15.1698
HDFC_Top100_Direct,2014-03-31,15.2761
HDFC_Top100_Direct,2014-04-01,15.3236
HDFC_Top100_Direct,2014-04-02,15.5261
HDFC_Top100_Direct,2014-04-03,15.5016
HDFC_Top100_Direct,2014-04-04,15.6554
HDFC_Top100_Direct,2014-04-07,15.7238
HDFC_Top100_Direct,2014-04-09,15.7721
HDFC_Top100_Direct,2014-04-10,15.7832
HDFC_Top100_Direct,2014-04-11,15.8805
HDFC_Top100_Direct,2014-04-15,15.959
HDFC_Top100_Direct,2014-04-16,15.8341
HDFC_Top100_Direct,2014-04-17,15.9681
HDFC_Top100_Direct,2014-04-21,16.061
HDFC_Top100_Direct,2014-04-22,16.1917
HDFC_Top100_Direct,2014-04-23,16.2362
HDFC_Top100_Direct,2014-04-25,16.2714
HDFC_Top100_Direct,2014-04-28,16.3857
HDFC_Top100_Direct,2014-04-29,16.4239
HDFC_Top100_Direct,2014-04-30,16.194
HDFC_Top100_Direct,2014-05-02,16.1784
HDFC_Top100_Direct,2014-05-05,16.1466
HDFC_Top100_Direct,2014-05-06,16.2026
HDFC_Top100_Direct,2014-05-07,16.2031
HDFC_Top100_Direct,2014-05-08,16.2601
HDFC_Top100_Direct,2014-05-09,16.2665
HDFC_Top100_Direct,2014-05-12,16.236
HDFC_Top100_Direct,2014-05-13,16.318
HDFC_Top100_Direct,2014-05-14,16.3868
HDFC_Top100_Direct,2014-05-15,16.2742
HDFC_Top100_Direct,2014-05-16,16.3354
HDFC_Top100_Direct,2014-05-19,16.6375
HDFC_Top100_Direct,2014-05-20,17.0756
HDFC_Top100_Direct,2014-05-21,17.3618
HDFC_Top100_Direct,2014-05-22,17.6336
HDFC_Top100_Direct,2014-05-23,17.5799
HDFC_Top100_Direct,2014-05-26,17.2722
HDFC_Top100_Direct,2014-05-27,17.4244
HDFC_Top100_Direct,2014-05-28,17.7014
HDFC_Top100_Direct,2014-05-29,17.6411
HDFC_Top100_Direct,2014-05-30,17.5999
HDFC_Top100_Direct,2014-06-02,17.7284
HDFC_Top100_Direct,2014-06-03,17.7281
HDFC_Top100_Direct,2014-06-04,18.0406
HDFC_Top100_Direct,2014-06-05,18.2638
HDFC_Top100_Direct,2014-06-06,18.5395
HDFC_Top100_Direct,2014-06-09,18.8095
HDFC_Top100_Direct,2014-06-10,18.9611
HDFC_Top100_Direct,2014-06-11,18.7536
HDFC_Top100_Direct,2014-06-12,18.9265
HDFC_Top100_Direct,2014-06-13,18.7545
HDFC_Top100_Direct,2014-06-16,18.7174
HDFC_Top100_Direct,2014-06-17,19.0015
HDFC_Top100_Direct,2014-06-18,19.2167
HDFC_Top100_Direct,2014-06-19,19.1541
HDFC_Top100_Direct,2014-06-20,19.1702
HDFC_Top100_Direct,2014-06-23,19.1147
HDFC_Top100_Direct,2014-06-24,19.1991
HDFC_Top100_Direct,2014-06-25,19.3056
HDFC_Top100_Direct,2014-06-26,19.5189
HDFC_Top100_Direct,2014-06-27,19.669
HDFC_Top100_Direct,2014-06-30,20.0705
HDFC_Top100_Direct,2014-07-01,20.2237
HDFC_Top100_Direct,2014-07-02,20.3994
HDFC_Top100_Direct,2014-07-03,20.539
HDFC_Top100_Direct,2014-07-04,20.7887
HDFC_Top100_Direct,2014-07-07,20.9874
HDFC_Top100_Direct,2014-07-08,20.4515
HDFC_Top100_Direct,2014-07-09,20.1567
HDFC_Top100_Direct,2014-07-10,20.1881
HDFC_Top100_Direct,2014-07-11,19.8392
HDFC_Top100_Direct,2014-07-14,19.7798
HDFC_Top100_Direct,2014-07-15,19.9854
HDFC_Top100_Direct,2014-07-16,20.4248
HDFC_Top100_Direct,2014-07-17,20.8995
HDFC_Top100_Direct,2014-07-18,20.8316
HDFC_Top100_Direct,2014-07-21,21.28
HDFC_Top100_Direct,2014-07-22,21.363
HDFC_Top100_Direct,2014-07-23,21.24
HDFC_Top100_Direct,2014-07-24,21.3216
HDFC_Top100_Direct,2014-07-25,21.1489
HDFC_Top100_Direct,2014-07-28,21.1246
HDFC_Top100_Direct,2014-07-30,21.0491
HDFC_Top100_Direct,2014-07-31,21.0652
HDFC_Top100_Direct,2014-08-01,20.8274
HDFC_Top100_Direct,2014-08-04,21.1423
