scheme,date,nav
ICICI_Bluechip,2013-01-02,15.0253
ICICI_Bluechip,2013-01-03,15.0737
ICICI_Bluechip,2013-01-04,15.0702
ICICI_Bluechip,2013-01-07,15.0913
ICICI_Bluechip,2013-01-08,15.1146
ICICI_Bluechip,2013-01-09,15.0517
ICICI_Bluechip,2013-01-10,15.0619
ICICI_Bluechip,2013-01-11,14.8886
ICICI_Bluechip,2013-01-14,14.9767
ICICI_Bluechip,2013-01-15,14.9813
ICICI_Bluechip,2013-01-16,14.8752
ICICI_Bluechip,2013-01-17,14.8214
ICICI_Bluechip,2013-01-18,14.7954
ICICI_Bluechip,2013-01-21,14.7538
ICICI_Bluechip,2013-01-22,14.7072
ICICI_Bluechip,2013-01-23,14.6961
ICICI_Bluechip,2013-01-24,14.6124
ICICI_Bluechip,2013-01-25,14.7695
ICICI_Bluechip,2013-01-28,14.7769
ICICI_Bluechip,2013-01-29,14.7946
ICICI_Bluechip,2013-01-30,14.7706
ICICI_Bluechip,2013-01-31,14.7326
ICICI_Bluechip,2013-02-01,14.6961
ICICI_Bluechip,2013-02-04,14.7065
ICICI_Bluechip,2013-02-05,14.6435
ICICI_Bluechip,2013-02-06,14.7026
ICICI_Bluechip,2013-02-07,14.6822
ICICI_Bluechip,2013-02-08,14.6145
ICICI_Bluechip,2013-02-11,14.5489
ICICI_Bluechip,2013-02-12,14.5546
ICICI_Bluechip,2013-02-13,14.6106
ICICI_Bluechip,2013-02-14,14.5047
ICICI_Bluechip,2013-02-15,14.4666
ICICI_Bluechip,2013-02-18,14.4915
ICICI_Bluechip,2013-02-19,14.6114
ICICI_Bluechip,2013-02-20,14.6159
ICICI_Bluechip,2013-02-21,14.4163
ICICI_Bluechip,2013-02-22,14.4423
ICICI_Bluechip,2013-02-25,14.401
ICICI_Bluechip,2013-02-26,14.2049
ICICI_Bluechip,2013-02-27,14.2879
ICICI_Bluechip,2013-02-28,14.1092
ICICI_Bluechip,2013-03-01,14.238
ICICI_Bluechip,2013-03-04,14.1535
ICICI_Bluechip,2013-03-05,14.3051
ICICI_Bluechip,2013-03-06,14.3669
ICICI_Bluechip,2013-03-07,14.4921
ICICI_Bluechip,2013-03-08,14.6971
ICICI_Bluechip,2013-03-11,14.7309
ICICI_Bluechip,2013-03-12,14.69
ICICI_Bluechip,2013-03-13,14.5384
ICICI_Bluechip,2013-03-14,14.6688
ICICI_Bluechip,2013-03-15,14.6503
ICICI_Bluechip,2013-03-18,14.5716
ICICI_Bluechip,2013-03-19,14.3756
ICICI_Bluechip,2013-03-20,14.1918
ICICI_Bluechip,2013-03-21,14.1287
ICICI_Bluechip,2013-03-22,14.0638
ICICI_Bluechip,2013-03-25,14.0211
ICICI_Bluechip,2013-03-26,14.0945
ICICI_Bluechip,2013-03-28,14.1991
ICICI_Bluechip,2013-04-01,14.231
ICICI_Bluechip,2013-04-02,14.3768
ICICI_Bluechip,2013-04-03,14.2929
ICICI_Bluechip,2013-04-04,14.0601
ICICI_Bluechip,2013-04-05,14.0479
ICICI_Bluechip,2013-04-07,0.0
ICICI_Bluechip,2013-04-08,14.0224
