scheme,date,nav
Kotak_Bluechip,2013-01-07,30.6076
Kotak_Bluechip,2013-01-08,30.6239
Kotak_Bluechip,2013-01-09,30.6492
Kotak_Bluechip,2013-01-10,30.6784
Kotak_Bluechip,2013-01-11,30.6305
Kotak_Bluechip,2013-01-14,30.6862
Kotak_Bluechip,2013-01-15,30.6993
Kotak_Bluechip,2013-01-16,30.6804
Kotak_Bluechip,2013-01-17,30.6565
Kotak_Bluechip,2013-01-18,30.658
Kotak_Bluechip,2013-01-21,30.6574
Kotak_Bluechip,2013-01-22,30.6627
Kotak_Bluechip,2013-01-23,30.6688
Kotak_Bluechip,2013-01-24,30.6574
Kotak_Bluechip,2013-01-25,30.6611
Kotak_Bluechip,2013-01-28,30.6878
Kotak_Bluechip,2013-01-29,30.674
Kotak_Bluechip,2013-01-30,30.6441
Kotak_Bluechip,2013-01-31,30.6763
Kotak_Bluechip,2013-02-01,30.7201
Kotak_Bluechip,2013-02-04,30.7231
Kotak_Bluechip,2013-02-05,30.6673
Kotak_Bluechip,2013-02-06,30.7067
Kotak_Bluechip,2013-02-07,30.6882
Kotak_Bluechip,2013-02-08,30.6813
Kotak_Bluechip,2013-02-11,30.5643
Kotak_Bluechip,2013-02-12,30.6846
Kotak_Bluechip,2013-02-13,30.693
Kotak_Bluechip,2013-02-14,30.648
Kotak_Bluechip,2013-02-15,30.6442
Kotak_Bluechip,2013-02-18,30.6588
Kotak_Bluechip,2013-02-19,30.6778
Kotak_Bluechip,2013-02-20,30.7038
Kotak_Bluechip,2013-02-21,30.6841
Kotak_Bluechip,2013-02-22,30.6784
Kotak_Bluechip,2013-02-25,30.8655
Kotak_Bluechip,2013-02-26,30.8517
Kotak_Bluechip,2013-02-27,30.8692
Kotak_Bluechip,2013-02-28,30.8823
Kotak_Bluechip,2013-03-01,30.8771
Kotak_Bluechip,2013-03-04,30.9006
Kotak_Bluechip,2013-03-05,30.9255
Kotak_Bluechip,2013-03-06,30.9339
Kotak_Bluechip,2013-03-07,30.9351
Kotak_Bluechip,2013-03-08,30.9455
Kotak_Bluechip,2013-03-11,30.9535
Kotak_Bluechip,2013-03-12,30.9494
Kotak_Bluechip,2013-03-13,30.9439
Kotak_Bluechip,2013-03-14,30.9591
Kotak_Bluechip,2013-03-15,30.9911
Kotak_Bluechip,2013-03-18,30.9884
Kotak_Bluechip,2013-03-19,30.9834
Kotak_Bluechip,2013-03-20,30.9819
Kotak_Bluechip,2013-03-21,30.9869
Kotak_Bluechip,2013-03-22,30.9812
Kotak_Bluechip,2013-03-25,30.9981
Kotak_Bluechip,2013-03-26,30.9902
Kotak_Bluechip,2013-03-28,31.0136
Kotak_Bluechip,2013-03-29,31.0185
Kotak_Bluechip,2013-04-01,31.055
Kotak_Bluechip,2013-04-02,31.0775
Kotak_Bluechip,2013-04-03,31.0919
Kotak_Bluechip,2013-04-04,31.0996
Kotak_Bluechip,2013-04-05,31.0949
Kotak_Bluechip,2013-04-08,31.1187
Kotak_Bluechip,2013-04-09,31.1389
Kotak_Bluechip,2013-04-10,31.1225
Kotak_Bluechip,2013-04-11,31.1374
Kotak_Bluechip,2013-04-12,31.1464
Kotak_Bluechip,2013-04-15,31.1685
Kotak_Bluechip,2013-04-16,31.1787
Kotak_Bluechip,2013-04-17,31.1958
Kotak_Bluechip,2013-04-18,31.2408
Kotak_Bluechip,2013-04-19,31.2458
Kotak_Bluechip,2013-04-22,31.2718
Kotak_Bluechip,2013-04-23,31.2609
Kotak_Bluechip,2013-04-24,31.2657
Kotak_Bluechip,2013-04-25,31.3033
Kotak_Bluechip,2013-04-26,31.3278
Kotak_Bluechip,2013-04-29,31.3398
Kotak_Bluechip,2013-04-30,31.3503
Kotak_Bluechip,2013-05-02,31.3834
Kotak_Bluechip,2013-05-03,31.3656
Kotak_Bluechip,2013-05-06,31.3995
Kotak_Bluechip,2013-05-07,31.4319
Kotak_Bluechip,2013-05-08,31.4751
Kotak_Bluechip,2013-05-09,31.4968
Kotak_Bluechip,2013-05-10,31.4982
Kotak_Bluechip,2013-05-13,31.4879
Kotak_Bluechip,2013-05-14,31.5705
Kotak_Bluechip,2013-05-15,31.5899
Kotak_Bluechip,2013-05-16,31.5827
Kotak_Bluechip,2013-05-17,31.5851
Kotak_Bluechip,2013-05-20,31.5989
Kotak_Bluechip,2013-05-21,31.5881
Kotak_Bluechip,2013-05-22,31.5981
Kotak_Bluechip,2013-05-23,31.6113
Kotak_Bluechip,2013-05-24,31.6135
