scheme,date,nav
SBI_Bluechip,2013-01-02,103.0059
SBI_Bluechip,2013-01-03,103.0306
SBI_Bluechip,2013-01-04,103.0619
SBI_Bluechip,2013-01-07,103.1408
SBI_Bluechip,2013-01-08,103.1663
SBI_Bluechip,2013-01-09,103.1897
SBI_Bluechip,2013-01-10,103.2132
SBI_Bluechip,2013-01-11,103.2385
SBI_Bluechip,2013-01-14,103.3225
SBI_Bluechip,2013-01-15,102.9223
SBI_Bluechip,2013-01-16,102.9421
SBI_Bluechip,2013-01-17,102.9691
SBI_Bluechip,2013-01-18,102.9932
SBI_Bluechip,2013-01-21,103.0662
SBI_Bluechip,2013-01-22,103.0909
SBI_Bluechip,2013-01-23,103.1145
SBI_Bluechip,2013-01-24,103.1411
SBI_Bluechip,2013-01-28,103.2351
SBI_Bluechip,2013-01-29,102.9384
SBI_Bluechip,2013-01-30,102.959
SBI_Bluechip,2013-01-31,102.9778
SBI_Bluechip,2013-02-01,102.9976
SBI_Bluechip,2013-02-04,103.0659
SBI_Bluechip,2013-02-05,103.0886
SBI_Bluechip,2013-02-06,103.1119
SBI_Bluechip,2013-02-07,103.1356
SBI_Bluechip,2013-02-08,103.1594
SBI_Bluechip,2013-02-11,103.2303
SBI_Bluechip,2013-02-12,103.2523
SBI_Bluechip,2013-02-13,103.2745
SBI_Bluechip,2013-02-14,103.2937
SBI_Bluechip,2013-02-15,102.9522
SBI_Bluechip,2013-02-18,103.0229
SBI_Bluechip,2013-02-20,103.0725
SBI_Bluechip,2013-02-21,103.0965
SBI_Bluechip,2013-02-22,103.1226
SBI_Bluechip,2013-02-25,103.1919
SBI_Bluechip,2013-02-26,103.2097
SBI_Bluechip,2013-02-27,103.2322
SBI_Bluechip,2013-02-28,103.254
SBI_Bluechip,2013-03-01,102.9714
SBI_Bluechip,2013-03-04,103.0478
SBI_Bluechip,2013-03-05,103.0786
SBI_Bluechip,2013-03-06,103.1012
SBI_Bluechip,2013-03-07,103.129
SBI_Bluechip,2013-03-08,103.1462
SBI_Bluechip,2013-03-11,103.2199
SBI_Bluechip,2013-03-12,103.251
SBI_Bluechip,2013-03-13,103.2884
SBI_Bluechip,2013-03-14,103.34
SBI_Bluechip,2013-03-15,102.9975
SBI_Bluechip,2013-03-18,103.0355
SBI_Bluechip,2013-03-19,103.0632
